Chemin vers le fichier CSS	Nom du style	TypeDeContenu	Composant	Niveau de titre	Type standard HTML	Nom de la police de caractère	Taille de la police de caractère	Gras : oui / non	Italique : oui / non	Couleur
app/content-styles.css	.videoDetournement .ui-closeButton	listeDeDetournementsVideo	VideoDetournement	-	-		24px	non	non	#666
app/content-styles.css	.videoDetournement .ui-closeButton:hover	listeDeDetournementsVideo	VideoDetournement	-	-			non	non	#000
app/content-styles.css	.videoDetournement .ui-popupContent	listeDeDetournementsVideo	VideoDetournement	-	-	var(--font-serif)	13px	non	non	rgba(9, 23, 71, 1)
app/content-styles.css	.temoignage.photo	listeDeTemoignages	Temoignages	-	-			non	non	#f0f0f0
app/content-styles.css	.temoignage.nom	listeDeTemoignages	Temoignages	-	Titre	var(--font-sans)	0.7875rem	oui	non	var(--BleuFonce)
app/content-styles.css	.temoignage.fonction	listeDeTemoignages	Temoignages	-	Normal (paragraphe)	var(--font-serif)	0.875rem	non	oui	var(--color-text-default)
app/content-styles.css	.temoignage.temoignage	listeDeTemoignages	Temoignages	-	-	var(--font-serif)	0.875rem	non	non	var(--color-text-default)
app/content-styles.css	.temoignage.nom	listeDeTemoignages	Temoignages	-	Titre		0.875rem	non	non	
app/content-styles.css	.temoignage.fonction	listeDeTemoignages	Temoignages	-	Normal (paragraphe)		1rem	non	non	
app/content-styles.css	.temoignage.temoignage	listeDeTemoignages	Temoignages	-	-		1rem	non	non	
